"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month ","average_total_payment_3_month ","average_total_payment_6_month ","average_total_payment_1_year ","sum_total_payment_1_month ","sum_total_payment_3_month ","sum_total_payment_6_month ","sum_total_payment_1_year ","average_standard_payment_1_month ","average_standard_payment_3_month ","average_standard_payment_6_month ","average_standard_payment_1_year ","sum_standard_payment_1_month ","sum_standard_payment_3_month ","sum_standard_payment_6_month ","sum_standard_payment_1_year ","average_non_standard_payment_1_month ","average_non_standard_payment_3_month ","average_non_standard_payment_6_month ","average_non_standard_payment_1_year ","sum_non_standard_payment_1_month ","sum_non_standard_payment_3_month ","sum_non_standard_payment_6_month ","sum_non_standard_payment_1_year ","average_jobs_1_month ","average_jobs_3_month ","average_jobs_6_month ","average_jobs_1_year ","total_jobs_1_month ","total_jobs_3_month ","total_jobs_6_month ","total_jobs_1_year ","average_satisfaction_1_month ","average_satisfaction_3_month ","average_satisfaction_6_month ","average_satisfaction_1_year ","Tenure(in_categories)","churn_status"
"1",53028,"CAPE CORAL                    ","FL ",1,100,"COMMISSION","1",1,"107",53028,78,2017-08-18,0,0,63,63,0,0,891.52380952381,891.52380952381,0,0,56166,56166,0,0,891.52380952381,891.52380952381,0,0,56166,56166,0,0,0,0,0,0,0,0,0,0,15.5238095238095,15.5238095238095,0,0,978,978,0.5,0.5,0.596774193548387,0.596774193548387,"less than or equal to 3 month",TRUE
"2",53045,"CENTEREACH                    ","NY ",1,100,"COMMISSION","1",0,"236",53045,1,2017-09-19,0,1,1,1,0,847,847,847,0,847,847,847,0,847,847,847,0,847,847,847,0,0,0,0,0,0,0,0,0,16,16,16,0,16,16,16,0.5,1,1,1,"less than or equal to a month",TRUE
"3",53051,"CAMDEN                        ","NJ ",1,100,"COMMISSION","1",1,"107",53051,213,2017-12-30,45,89,154,154,746,763.426966292135,758.831168831169,758.831168831169,33570,67945,116860,116860,746,763.426966292135,758.831168831169,758.831168831169,33570,67945,116860,116860,0,0,0,0,0,0,0,0,9.73333333333333,9.79775280898876,10.2272727272727,10.2272727272727,438,872,1575,1575,0.625,0.6125,0.557142857142857,0.557142857142857,"more than 6 month",FALSE
"4",53105,"NORTH LAUDERDALE              ","FL ",1,100,"COMMISSION","1",0,"236",53105,15,2017-12-30,12,12,12,12,886.666666666667,886.666666666667,886.666666666667,886.666666666667,10640,10640,10640,10640,886.666666666667,886.666666666667,886.666666666667,886.666666666667,10640,10640,10640,10640,0,0,0,0,0,0,0,0,15.5833333333333,15.5833333333333,15.5833333333333,15.5833333333333,187,187,187,187,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,"less than or equal to a month",FALSE
"5",53106,"WOODLAND                      ","CA ",1,100,"COMMISSION","1",0,"236",53106,79,2017-08-18,0,0,73,73,0,0,655.890410958904,655.890410958904,0,0,47880,47880,0,0,655.890410958904,655.890410958904,0,0,47880,47880,0,0,0,0,0,0,0,0,0,0,13.6986301369863,13.6986301369863,0,0,1000,1000,0.5,0.5,0.430769230769231,0.430769230769231,"less than or equal to 3 month",TRUE
"6",53114,"HAMMOND                       ","IN ",1,100,"COMMISSION","1",1,"107",53114,204,2017-12-22,2,9,52,52,142.7,445.711111111111,648.786538461538,648.786538461538,285.4,4011.4,33736.9,33736.9,142.7,445.711111111111,648.786538461538,648.786538461538,285.4,4011.4,33736.9,33736.9,0,0,0,0,0,0,0,0,2.5,6.77777777777778,12.5576923076923,12.5576923076923,5,61,653,653,0.5,0.75,0.48780487804878,0.48780487804878,"more than 6 month",FALSE
"7",53178,"FEDERAL WAY                   ","WA ",1,100,"COMMISSION","1",0,"236",53178,213,2017-12-31,53,106,188,188,2358.45396226415,2030.60943396226,1989.63015957447,1989.63015957447,124998.06,215244.6,374050.47,374050.47,2284.11962264151,1992.17754716981,1960.66292553191,1960.66292553191,121058.34,211170.82,368604.63,368604.63,74.3343396226415,38.4318867924528,28.9672340425532,28.9672340425532,3939.72,4073.78,5445.84,5445.84,18.9056603773585,14.3679245283019,13.3031914893617,13.3031914893617,1002,1523,2501,2501,0.688888888888889,0.674698795180723,0.684931506849315,0.684931506849315,"more than 6 month",FALSE
"8",53187,"WOODLAND                      ","CA ",1,100,"COMMISSION","1",0,"236",53187,82,2017-08-21,0,0,78,78,0,0,1053.28205128205,1053.28205128205,0,0,82156,82156,0,0,1053.28205128205,1053.28205128205,0,0,82156,82156,0,0,0,0,0,0,0,0,0,0,17.5512820512821,17.5512820512821,0,0,1369,1369,0.5,0.5,0.623376623376623,0.623376623376623,"less than or equal to 3 month",TRUE
"9",53198,"CALGARY                       ","AB ",1,0,"DAILY     ","Not Specified",1,"107",53198,213,2017-12-30,32,67,126,126,51.25,44.5970149253731,42.984126984127,42.984126984127,1640,2988,5416,5416,51.25,44.5970149253731,42.984126984127,42.984126984127,1640,2988,5416,5416,0,0,0,0,0,0,0,0,2.09375,2.55223880597015,3.61111111111111,3.61111111111111,67,171,455,455,0.666666666666667,0.736842105263158,0.776470588235294,0.776470588235294,"more than 6 month",FALSE
"10",53205,"KAUKAUNA                      ","WI ",1,100,"COMMISSION","1",1,"107",53205,202,2017-12-19,32,70,133,133,909.45,850.733142857143,842.992556390977,842.992556390977,29102.4,59551.32,112118.01,112118.01,908.6625,850.373142857143,842.592556390977,842.592556390977,29077.2,59526.12,112064.81,112064.81,0.7875,0.36,0.4,0.4,25.2,25.2,53.2,53.2,9.1875,7.62857142857143,7.37593984962406,7.37593984962406,294,534,981,981,0.833333333333333,0.833333333333333,0.842105263157895,0.842105263157895,"more than 6 month",FALSE
"11",53225,"ODESSA                        ","TX ",1,0,"WEEKLY    ","1",1,"107",53225,11,2017-09-28,0,11,11,11,0,720,720,720,0,7920,7920,7920,0,720,720,720,0,7920,7920,7920,0,0,0,0,0,0,0,0,0,8.36363636363636,8.36363636363636,8.36363636363636,0,92,92,92,0.5,0.888888888888889,0.888888888888889,0.888888888888889,"less than or equal to a month",TRUE
"12",53233,"KAUKAUNA                      ","WI ",1,100,"COMMISSION","1",1,"107",53233,214,2017-12-31,49,96,155,155,803.530408163265,796.249270833333,758.876451612903,758.876451612903,39372.99,76439.93,117625.85,117625.85,802.714081632653,795.832604166667,758.618387096774,758.618387096774,39332.99,76399.93,117585.85,117585.85,0.816326530612245,0.416666666666667,0.258064516129032,0.258064516129032,40,40,40,40,6.40816326530612,6.90625,6.83870967741935,6.83870967741935,314,663,1060,1060,0.875,0.830508474576271,0.846938775510204,0.846938775510204,"more than 6 month",FALSE
"13",53239,"KAUKAUNA                      ","WI ",1,100,"COMMISSION","1",1,"107",53239,202,2017-12-20,10,31,85,85,924.058,727.089677419355,739.611294117647,739.611294117647,9240.58,22539.78,62866.96,62866.96,924.058,727.089677419355,737.491294117647,737.491294117647,9240.58,22539.78,62686.76,62686.76,0,0,2.12,2.12,0,0,180.2,180.2,7,5.7741935483871,6.37647058823529,6.37647058823529,70,179,542,542,1,1,0.956521739130435,0.956521739130435,"more than 6 month",FALSE
"14",53263,"CALGARY                       ","AB ",1,0,"DAILY     ","1",1,"107",53263,14,2017-09-21,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,2.4,0,12,12,12,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"15",53273,"FORKED RIVER                  ","NJ ",1,100,"COMMISSION","1",1,"107",53273,192,2017-12-30,26,26,36,36,802.576923076923,802.576923076923,889.777777777778,889.777777777778,20867,20867,32032,32032,802.576923076923,802.576923076923,889.777777777778,889.777777777778,20867,20867,32032,32032,0,0,0,0,0,0,0,0,14.5384615384615,14.5384615384615,15.9722222222222,15.9722222222222,378,378,575,575,0.56,0.56,0.485714285714286,0.485714285714286,"more than 6 month",FALSE
"16",53284,"AURORA                        ","ON ",1,0,"DAILY     ","1",1,"107",53284,213,2017-12-31,54,105,183,183,2.96296296296296,2.01904761904762,1.15846994535519,1.15846994535519,160,212,212,212,2.96296296296296,2.01904761904762,1.15846994535519,1.15846994535519,160,212,212,212,0,0,0,0,0,0,0,0,9.94444444444444,9.34285714285714,9.14207650273224,9.14207650273224,537,981,1673,1673,0.777777777777778,0.742857142857143,0.704918032786885,0.704918032786885,"more than 6 month",FALSE
"17",53287,"MISSISSAUGA,ON,L5W0C4         ","ON ",1,0,"DAILY     ","1",1,"107",53287,210,2017-12-30,4,6,9,9,271,180.666666666667,120.444444444444,120.444444444444,1084,1084,1084,1084,271,180.666666666667,120.444444444444,120.444444444444,1084,1084,1084,1084,0,0,0,0,0,0,0,0,1,1.66666666666667,2.11111111111111,2.11111111111111,4,10,19,19,1,1,1,1,"more than 6 month",FALSE
