"","X1","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"1",1,53028,"CAPE CORAL","FL",1,100,"COMMISSION","1",1,107,53028,78,2017-08-18,0,0,0,63,0,0,0,891.52380952381,0,0,0,56166,0,0,0,891.52380952381,0,0,0,56166,0,0,0,0,0,0,0,0,0,0,0,15.5238095238095,0,0,0,978,0.5,0.5,0.5,0.596774193548387,"less than or equal to 3 month",TRUE
"2",2,53045,"CENTEREACH","NY",1,100,"COMMISSION","1",0,236,53045,1,2017-09-19,0,0,0,1,0,0,0,847,0,0,0,847,0,0,0,847,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"3",3,53051,"CAMDEN","NJ",1,100,"COMMISSION","1",1,107,53051,213,2017-12-30,0,0,0,154,0,0,0,758.831168831169,0,0,0,116860,0,0,0,758.831168831169,0,0,0,116860,0,0,0,0,0,0,0,0,0,0,0,10.2272727272727,0,0,0,1575,0.5,0.5,0.5,0.557142857142857,"more than 6 month",FALSE
"4",4,53105,"NORTH LAUDERDALE","FL",1,100,"COMMISSION","1",0,236,53105,15,2017-12-30,0,0,0,12,0,0,0,886.666666666667,0,0,0,10640,0,0,0,886.666666666667,0,0,0,10640,0,0,0,0,0,0,0,0,0,0,0,15.5833333333333,0,0,0,187,0.5,0.5,0.5,0.416666666666667,"less than or equal to a month",FALSE
"5",5,53106,"WOODLAND","CA",1,100,"COMMISSION","1",0,236,53106,79,2017-08-18,0,0,0,73,0,0,0,655.890410958904,0,0,0,47880,0,0,0,655.890410958904,0,0,0,47880,0,0,0,0,0,0,0,0,0,0,0,13.6986301369863,0,0,0,1000,0.5,0.5,0.5,0.430769230769231,"less than or equal to 3 month",TRUE
"6",6,53114,"HAMMOND","IN",1,100,"COMMISSION","1",1,107,53114,204,2017-12-22,0,0,0,52,0,0,0,648.786538461538,0,0,0,33736.9,0,0,0,648.786538461538,0,0,0,33736.9,0,0,0,0,0,0,0,0,0,0,0,12.5576923076923,0,0,0,653,0.5,0.5,0.5,0.48780487804878,"more than 6 month",FALSE
"7",7,53178,"FEDERAL WAY","WA",1,100,"COMMISSION","1",0,236,53178,213,2017-12-31,0,0,0,188,0,0,0,1989.63015957447,0,0,0,374050.47,0,0,0,1960.66292553191,0,0,0,368604.63,0,0,0,28.9672340425532,0,0,0,5445.84,0,0,0,13.3031914893617,0,0,0,2501,0.5,0.5,0.5,0.684931506849315,"more than 6 month",FALSE
"8",8,53187,"WOODLAND","CA",1,100,"COMMISSION","1",0,236,53187,82,2017-08-21,0,0,0,78,0,0,0,1053.28205128205,0,0,0,82156,0,0,0,1053.28205128205,0,0,0,82156,0,0,0,0,0,0,0,0,0,0,0,17.5512820512821,0,0,0,1369,0.5,0.5,0.5,0.623376623376623,"less than or equal to 3 month",TRUE
"9",9,53198,"CALGARY","AB",1,0,"DAILY","Not Specified",1,107,53198,213,2017-12-30,0,0,0,126,0,0,0,42.984126984127,0,0,0,5416,0,0,0,42.984126984127,0,0,0,5416,0,0,0,0,0,0,0,0,0,0,0,3.61111111111111,0,0,0,455,0.5,0.5,0.5,0.776470588235294,"more than 6 month",FALSE
"10",10,53205,"KAUKAUNA","WI",1,100,"COMMISSION","1",1,107,53205,202,2017-12-19,0,0,0,133,0,0,0,842.992556390977,0,0,0,112118.01,0,0,0,842.592556390977,0,0,0,112064.81,0,0,0,0.4,0,0,0,53.2,0,0,0,7.37593984962406,0,0,0,981,0.5,0.5,0.5,0.842105263157895,"more than 6 month",FALSE
