"","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_status","tenure(in_days)","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"1",1,100,1,1,1,78,0,0,16,63,0,0,789.1875,891.52380952381,0,0,12627,56166,0,0,789.1875,891.52380952381,0,0,12627,56166,0,0,0,0,0,0,0,0,0,0,14.375,15.5238095238095,0,0,230,978,0.5,0.5,0.6,0.596774193548387,1,1
"2",1,100,1,1,2,1,0,0,1,1,0,0,847,847,0,0,847,847,0,0,847,847,0,0,847,847,0,0,0,0,0,0,0,0,0,0,16,16,0,0,16,16,0.5,0.5,1,1,2,1
"3",1,100,1,1,1,245,23,68,136,177,684.782608695652,725.294117647059,751.727941176471,749.209039548023,15750,49320,102235,132610,684.782608695652,725.294117647059,751.727941176471,749.209039548023,15750,49320,102235,132610,0,0,0,0,0,0,0,0,9.04347826086956,9.5,9.83088235294118,10.0734463276836,208,646,1337,1783,0.619047619047619,0.622950819672131,0.577235772357724,0.565217391304348,3,0
"4",1,100,1,1,2,47,21,33,33,33,723.809523809524,783.030303030303,783.030303030303,783.030303030303,15200,25840,25840,25840,723.809523809524,783.030303030303,783.030303030303,783.030303030303,15200,25840,25840,25840,0,0,0,0,0,0,0,0,13.9047619047619,14.5151515151515,14.5151515151515,14.5151515151515,292,479,479,479,0.45,0.4375,0.4375,0.4375,1,0
"5",1,100,1,1,2,79,0,0,17,73,0,0,532,655.890410958904,0,0,9044,47880,0,0,532,655.890410958904,0,0,9044,47880,0,0,0,0,0,0,0,0,0,0,12.0588235294118,13.6986301369863,0,0,205,1000,0.5,0.5,0.416666666666667,0.430769230769231,1,1
"6",1,100,1,1,1,204,0,2,24,52,0,142.7,561.370833333333,648.786538461538,0,285.4,13472.9,33736.9,0,142.7,561.370833333333,648.786538461538,0,285.4,13472.9,33736.9,0,0,0,0,0,0,0,0,0,2.5,9.95833333333333,12.5576923076923,0,5,239,653,0.5,0.5,0.6,0.48780487804878,3,0
"7",1,100,1,1,2,214,1,54,132,189,200.72,2318.49592592593,2024.85090909091,1980.16502645503,200.72,125198.78,267280.32,374251.19,200.72,2245.53814814815,1992.31303030303,1951.35105820106,200.72,121259.06,262985.32,368805.35,0,72.9577777777778,32.5378787878788,28.8139682539683,0,3939.72,4295,5445.84,4,18.6296296296296,13.4015151515152,13.2539682539683,4,1006,1769,2505,0.5,0.688888888888889,0.686868686868687,0.684931506849315,3,0
"8",1,100,1,1,2,82,0,0,21,78,0,0,991.619047619048,1053.28205128205,0,0,20824,82156,0,0,991.619047619048,1053.28205128205,0,0,20824,82156,0,0,0,0,0,0,0,0,0,0,16.7142857142857,17.5512820512821,0,0,351,1369,0.5,0.5,0.761904761904762,0.623376623376623,1,1
"9",1,0,2,2,1,243,18,50,108,144,10.6666666666667,36.64,42,38.9444444444444,192,1832,4536,5608,10.6666666666667,36.64,42,38.9444444444444,192,1832,4536,5608,0,0,0,0,0,0,0,0,1.66666666666667,1.94,2.80555555555556,3.36805555555556,30,97,303,485,1,0.793103448275862,0.803030303030303,0.802083333333333,3,0
"10",1,100,1,1,1,202,0,32,88,133,0,909.45,853.865568181818,842.992556390977,0,29102.4,75140.17,112118.01,0,908.6625,853.261022727273,842.592556390977,0,29077.2,75086.97,112064.81,0,0.7875,0.604545454545454,0.4,0,25.2,53.2,53.2,0,9.1875,7.59090909090909,7.37593984962406,0,294,668,981,0.5,0.833333333333333,0.833333333333333,0.842105263157895,3,0
"11",1,0,3,1,1,11,0,0,11,11,0,0,720,720,0,0,7920,7920,0,0,720,720,0,0,7920,7920,0,0,0,0,0,0,0,0,0,0,8.36363636363636,8.36363636363636,0,0,92,92,0.5,0.5,0.888888888888889,0.888888888888889,2,1
"12",1,100,1,1,1,245,26,75,148,181,737.026153846154,780.4756,782.952837837838,755.73773480663,19162.68,58535.67,115877.02,136788.53,737.026153846154,779.942266666667,782.682567567568,755.516740331492,19162.68,58495.67,115837.02,136748.53,0,0.533333333333333,0.27027027027027,0.220994475138122,0,40,40,40,6.23076923076923,6.34666666666667,6.88513513513514,6.75138121546961,162,476,1019,1222,0.894736842105263,0.883720930232558,0.827956989247312,0.854700854700855,3,0
"13",1,100,1,1,1,235,2,12,44,87,648.73,878.17,696.328863636364,737.522068965517,1297.46,10538.04,30638.47,64164.42,648.73,878.17,695.510681818182,735.450804597701,1297.46,10538.04,30602.47,63984.22,0,0,0.818181818181818,2.07126436781609,0,0,36,180.2,4.5,6.58333333333333,5.72727272727273,6.33333333333333,9,79,252,551,0.5,1,1,0.956521739130435,3,0
"14",1,0,2,1,1,14,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,0,0,12,12,0.5,0.5,0.5,0.5,2,1
"15",1,100,1,1,1,224,28,54,54,64,667.142857142857,732.351851851852,732.351851851852,792.375,18680,39547,39547,50712,667.142857142857,732.351851851852,732.351851851852,792.375,18680,39547,39547,50712,0,0,0,0,0,0,0,0,11.3928571428571,12.9074074074074,12.9074074074074,13.96875,319,697,697,894,0.678571428571429,0.622641509433962,0.622641509433962,0.571428571428571,3,0
"16",1,0,2,1,1,244,29,83,161,212,0,1.92771084337349,1.3167701863354,1,0,160,212,212,0,1.92771084337349,1.3167701863354,1,0,160,212,212,0,0,0,0,0,0,0,0,10.3448275862069,10.0843373493976,9.41614906832298,9.30660377358491,300,837,1516,1973,0.689655172413793,0.746987951807229,0.708074534161491,0.702830188679245,3,0
"17",1,0,2,1,1,210,0,4,6,9,0,271,180.666666666667,120.444444444444,0,1084,1084,1084,0,271,180.666666666667,120.444444444444,0,1084,1084,1084,0,0,0,0,0,0,0,0,0,1,1.66666666666667,2.11111111111111,0,4,10,19,0.5,1,1,1,3,0
"18",1,100,1,2,1,236,5,26,49,97,1129.004,944.624615384615,797.191428571429,878.587731958763,5645.02,24560.24,39062.38,85223.01,994.444,893.748461538462,764.064081632653,861.64793814433,4972.22,23237.46,37439.14,83579.85,134.56,50.8761538461538,33.1273469387755,16.939793814433,672.8,1322.78,1623.24,1643.16,13.6,10.6538461538462,9.20408163265306,10.2474226804124,68,277,451,994,1,0.782608695652174,0.828571428571429,0.65,3,0
"19",1,100,1,2,2,36,0,0,9,20,0,0,1059.51555555556,999.397,0,0,9535.64,19987.94,0,0,1052.58,996.276,0,0,9473.22,19925.52,0,0,6.93555555555556,3.121,0,0,62.42,62.42,0,0,12.6666666666667,11.85,0,0,114,237,0.5,0.5,0.875,0.722222222222222,1,1
"20",1,0,2,1,1,245,29,84,172,231,0,1.95238095238095,7.88372093023256,6.52813852813853,0,164,1356,1508,0,1.95238095238095,7.88372093023256,6.52813852813853,0,164,1356,1508,0,0,0,0,0,0,0,0,9.37931034482759,8.47619047619048,7.01744186046512,6.67532467532468,272,712,1207,1542,0.689655172413793,0.634146341463415,0.765060240963855,0.751131221719457,3,0
"21",1,100,1,2,1,67,0,0,6,39,0,0,672,868.615384615385,0,0,4032,33876,0,0,672,868.615384615385,0,0,4032,33876,0,0,0,0,0,0,0,0,0,0,11.5,15.8205128205128,0,0,69,617,0.5,0.5,0.333333333333333,0.58974358974359,1,1
"22",1,100,1,1,1,245,26,79,157,210,953.269230769231,1044.92151898734,978.189299363057,971.196095238095,24785,82548.8,153575.72,203951.18,953.269230769231,1026.02987341772,966.772484076433,962.660666666667,24785,81056.36,151783.28,202158.74,0,18.8916455696203,11.4168152866242,8.53542857142857,0,1492.44,1792.44,1792.44,15.4615384615385,16.5696202531646,15.8216560509554,15.7904761904762,402,1309,2484,3316,0.5,0.5,0.5,0.5,3,0
"23",1,0,2,2,1,241,4,8,67,102,0,0,0.358208955223881,0.235294117647059,0,0,24,24,0,0,0.358208955223881,0.235294117647059,0,0,24,24,0,0,0,0,0,0,0,0,7.25,6.625,8.01492537313433,8.14705882352941,29,53,537,831,0.25,0.4,0.645161290322581,0.690721649484536,3,0
"24",1,0,2,1,1,245,24,66,140,193,30.8333333333333,18.6666666666667,16.6857142857143,17.5336787564767,740,1232,2336,3384,30.8333333333333,18.6666666666667,16.6857142857143,17.5336787564767,740,1232,2336,3384,0,0,0,0,0,0,0,0,2.20833333333333,2.5,3.25714285714286,3.74093264248705,53,165,456,722,0.75,0.806451612903226,0.840909090909091,0.815384615384615,3,0
"25",1,100,1,2,2,76,0,0,11,52,0,0,536.727272727273,858.461538461538,0,0,5904,44640,0,0,536.727272727273,858.461538461538,0,0,5904,44640,0,0,0,0,0,0,0,0,0,0,8.54545454545454,15.6538461538462,0,0,94,814,0.5,0.5,0.636363636363636,0.490196078431373,1,1
"26",1,100,1,1,2,245,27,80,143,198,832.481481481482,816.8125,916.804195804196,1140.74242424242,22477,65345,131103,225867,832.481481481482,816.8125,916.804195804196,1140.74242424242,22477,65345,131103,225867,0,0,0,0,0,0,0,0,5.44444444444444,5.7625,6.91608391608392,8.55555555555556,147,461,989,1694,0.842105263157895,0.689655172413793,0.740740740740741,0.696774193548387,3,0
