Driver_ID,dr_city,dr_state,dr_contract,dr_commission,dr_paytype,dr_wkbase,dr_onduty,dr_status
53028,CAPE CORAL                    ,FL ,1,100,COMMISSION,0,1,107
53045,CENTEREACH                    ,NY ,1,100,COMMISSION,0,0,236
53051,CAMDEN                        ,NJ ,1,100,COMMISSION,0,1,107
53105,NORTH LAUDERDALE              ,FL ,1,100,COMMISSION,0,0,236
53106,WOODLAND                      ,CA ,1,100,COMMISSION,0,0,236
53114,HAMMOND                       ,IN ,1,100,COMMISSION,0,1,107
53178,FEDERAL WAY                   ,WA ,1,100,COMMISSION,0,0,236
53187,WOODLAND                      ,CA ,1,100,COMMISSION,0,0,236
53198,CALGARY                       ,AB ,1,0,DAILY     ,NULL,1,107
53205,KAUKAUNA                      ,WI ,1,100,COMMISSION,0,1,107
53225,ODESSA                        ,TX ,1,0,WEEKLY    ,0,1,107
53233,KAUKAUNA                      ,WI ,1,100,COMMISSION,0,1,107
53239,KAUKAUNA                      ,WI ,1,100,COMMISSION,0,1,107
53263,CALGARY                       ,AB ,1,0,DAILY     ,0,1,107
53273,FORKED RIVER                  ,NJ ,1,100,COMMISSION,0,1,107
53284,AURORA                        ,ON ,1,0,DAILY     ,0,1,107
53287,"MISSISSAUGA,ON,L5W0C4         ",ON ,1,0,DAILY     ,0,1,107
53288,GWYNN OAK                     ,MD ,1,100,COMMISSION,NULL,1,107
53299,GWYNN OAK                     ,MD ,1,100,COMMISSION,NULL,0,236
53303,"LETHBRIDGE,AB,T1K2S4          ",AB ,1,0,DAILY     ,0,1,107
53344,SAN FERNANDO                  ,CA ,1,100,COMMISSION,NULL,1,107
53384,DUNCANVILLE                   ,TX ,1,100,COMMISSION,0,1,107
53388,AURORA                        ,ON ,1,0,DAILY     ,NULL,1,107
53390,BRAMPTON                      ,ON ,1,0,DAILY     ,0,1,107
53413,RIVERSIDE                     ,CA ,1,100,COMMISSION,NULL,0,236
53437,ROOSEVELT                     ,NY ,1,100,COMMISSION,0,0,236
53439,ROOSEVELT                     ,NY ,1,100,COMMISSION,0,0,236
53440,ROOSEVELT                     ,NY ,1,100,COMMISSION,0,0,236
53455,ROOSEVELT                     ,NY ,1,100,COMMISSION,0,0,236
53456,CANTON                        ,OH ,1,0,WEEKLY    ,0,1,107
53495,OSHAWA                        ,ON ,1,0,DAILY     ,0,1,107
53496,OSHAWA                        ,ON ,1,0,DAILY     ,0,1,107
53510,TORONTO                       ,ON ,1,0,DAILY     ,0,1,107
53514,MAPLE                         ,ON ,1,0,DAILY     ,0,1,107
53529,PAWTUCKET                     ,RI ,1,100,COMMISSION,0,1,107
53538,MANAHAWKIN                    ,NJ ,1,100,COMMISSION,NULL,1,107
53541,PAWTUCKET                     ,RI ,1,100,COMMISSION,0,1,107
53543,HOUSTON                       ,TX ,1,100,COMMISSION,NULL,1,107
53548,LEHIGH ACRES                  ,FL ,1,100,COMMISSION,0,0,236
53596,ACTON                         ,MT ,1,0,WEEKLY    ,0,1,107
53626,CANTON                        ,OH ,1,100,COMMISSION,0,1,107
53636,CARVER                        ,MA ,1,100,COMMISSION,0,0,236
53641,NEW BRUNSWICK                 ,NJ ,1,100,COMMISSION,0,1,107
53643,RIALTO                        ,CA ,1,100,COMMISSION,NULL,1,107
53650,YUMA                          ,AZ ,1,0,WEEKLY    ,NULL,1,107
53655,QUINCY                        ,MA ,1,100,COMMISSION,0,0,236
53686,FT MYERS                      ,FL ,1,100,COMMISSION,0,0,236
53743,PHILADELPHIA                  ,PA ,1,100,COMMISSION,NULL,0,236
53746,CAMDEN                        ,NJ ,1,100,COMMISSION,0,1,107
53752,HOUSTON                       ,TX ,1,100,COMMISSION,NULL,1,107
53782,ENGLEWOOD                     ,NJ ,1,100,COMMISSION,NULL,1,107
53812,LOS ANGELES                   ,CA ,1,100,COMMISSION,0,1,107
53864,LAS VEGAS                     ,NV ,1,100,COMMISSION,0,1,107
53877,CALGARY                       ,AB ,1,0,DAILY     ,0,1,107
53887,WEEHAWKIN                     ,NJ ,1,100,COMMISSION,NULL,0,236
53888,ATTLEBORO                     ,MA ,1,100,COMMISSION,0,0,236
53889,ANTIOCH                       ,TN ,1,100,COMMISSION,0,1,107
53901,ANTIOCH                       ,TN ,1,100,COMMISSION,0,1,107
53902,ANTIOCH                       ,TN ,1,100,COMMISSION,0,1,107
53912,GRAND PRAIRIE                 ,TX ,1,100,COMMISSION,0,1,107
53913,WEEHAWKIN                     ,NJ ,1,100,COMMISSION,NULL,0,236
53920,ESCONDIDO                     ,CA ,1,100,COMMISSION,NULL,1,107
53953,HACIENDA HEIGHTS              ,CA ,1,100,COMMISSION,NULL,1,107
53957,NEW YORK                      ,NY ,1,100,COMMISSION,0,0,236
53959,TAMPA                         ,FL ,1,100,COMMISSION,0,1,107
53972,SAULT STE MARIE               ,ON ,1,0,DAILY     ,NULL,1,107
