"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","tenure.in_days.","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month.","average_total_payment_3_month.","average_total_payment_6_month.","average_total_payment_1_year.","sum_total_payment_1_month.","sum_total_payment_3_month.","sum_total_payment_6_month.","sum_total_payment_1_year.","average_standard_payment_1_month.","average_standard_payment_3_month.","average_standard_payment_6_month.","average_standard_payment_1_year.","sum_standard_payment_1_month.","sum_standard_payment_3_month.","sum_standard_payment_6_month.","sum_standard_payment_1_year.","average_non_standard_payment_1_month.","average_non_standard_payment_3_month.","average_non_standard_payment_6_month.","average_non_standard_payment_1_year.","sum_non_standard_payment_1_month.","sum_non_standard_payment_3_month.","sum_non_standard_payment_6_month.","sum_non_standard_payment_1_year.","average_jobs_1_month.","average_jobs_3_month.","average_jobs_6_month.","average_jobs_1_year.","total_jobs_1_month.","total_jobs_3_month.","total_jobs_6_month.","total_jobs_1_year.","average_satisfaction_1_month.","average_satisfaction_3_month.","average_satisfaction_6_month.","average_satisfaction_1_year.","Tenure.in_categories."
"1",53028,"CAPE CORAL                    ","FL ",1,100,"COMMISSION","0",1,107,78,"2017-08-18",0,0,0,63,0,0,0,891.52380952381,0,0,0,56166,0,0,0,891.52380952381,0,0,0,56166,0,0,0,0,0,0,0,0,0,0,0,15.5238095238095,0,0,0,978,0.5,0.5,0.5,0.596774193548387,"less than or equal to 3 month"
"2",53045,"CENTEREACH                    ","NY ",1,100,"COMMISSION","0",0,236,1,"2017-09-19",0,0,0,1,0,0,0,847,0,0,0,847,0,0,0,847,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0.5,0.5,0.5,1,"less than or equal to a month"
"3",53051,"CAMDEN                        ","NJ ",1,100,"COMMISSION","0",1,107,363,"2018-05-29",21,68,113,267,647.142857142857,570.529411764706,598.637168141593,691.033707865169,13590,38796,67646,184506,647.142857142857,570.529411764706,598.637168141593,691.033707865169,13590,38796,67646,184506,0,0,0,0,0,0,0,0,8.14285714285714,7.86764705882353,8.27433628318584,9.40074906367041,171,535,935,2510,0.65,0.8,0.717171717171717,0.623430962343096,"more than 6 month"
"4",53105,"NORTH LAUDERDALE              ","FL ",1,100,"COMMISSION","0",0,236,48,"2018-02-01",0,0,22,34,0,0,725.454545454545,782.352941176471,0,0,15960,26600,0,0,725.454545454545,782.352941176471,0,0,15960,26600,0,0,0,0,0,0,0,0,0,0,13.9090909090909,14.5,0,0,306,493,0.5,0.5,0.476190476190476,0.454545454545455,"less than or equal to 3 month"
"5",53106,"WOODLAND                      ","CA ",1,100,"COMMISSION","0",0,236,79,"2017-08-18",0,0,0,73,0,0,0,655.890410958904,0,0,0,47880,0,0,0,655.890410958904,0,0,0,47880,0,0,0,0,0,0,0,0,0,0,0,13.6986301369863,0,0,0,1000,0.5,0.5,0.5,0.430769230769231,"less than or equal to 3 month"
"6",53114,"HAMMOND                       ","IN ",1,100,"COMMISSION","0",1,107,334,"2018-05-01",1,1,2,54,736,736,405,639.757407407407,736,736,810,34546.9,736,736,405,639.757407407407,736,736,810,34546.9,0,0,0,0,0,0,0,0,9,9,9,12.4259259259259,9,9,18,671,0,0,0,0.476190476190476,"more than 6 month"
"7",53178,"FEDERAL WAY                   ","WA ",1,100,"COMMISSION","0",0,236,302,"2018-03-30",0,22,32,220,0,760.949090909091,745.7240625,1808.69836363636,0,16740.88,23863.17,397913.64,0,760.949090909091,745.7240625,1783.94454545455,0,16740.88,23863.17,392467.8,0,0,0,24.7538181818182,0,0,0,5445.84,0,7.27272727272727,7.71875,12.4909090909091,0,160,247,2748,0.5,0.5,0.5,0.684931506849315,"more than 6 month"
"8",53187,"WOODLAND                      ","CA ",1,100,"COMMISSION","0",0,236,82,"2017-08-21",0,0,0,78,0,0,0,1053.28205128205,0,0,0,82156,0,0,0,1053.28205128205,0,0,0,82156,0,0,0,0,0,0,0,0,0,0,0,17.5512820512821,0,0,0,1369,0.5,0.5,0.5,0.623376623376623,"less than or equal to 3 month"
"9",53198,"CALGARY                       ","AB ",1,0,"DAILY     ","NULL",1,107,363,"2018-05-29",21,49,84,210,0,8.57142857142857,13.1428571428571,31.047619047619,0,420,1104,6520,0,8.57142857142857,13.1428571428571,31.047619047619,0,420,1104,6520,0,0,0,0,0,0,0,0,2.47619047619048,2.02040816326531,1.96428571428571,2.95238095238095,52,99,165,620,0.727272727272727,0.791666666666667,0.880952380952381,0.811023622047244,"more than 6 month"
"10",53205,"KAUKAUNA                      ","WI ",1,100,"COMMISSION","0",1,107,335,"2018-05-01",1,1,1,134,1600,1600,1600,848.641865671642,1600,1600,1600,113718.01,0,0,0,836.304552238806,0,0,0,112064.81,1600,1600,1600,12.3373134328358,1600,1600,1600,1653.2,1,1,1,7.32835820895522,1,1,1,982,1,1,1,0.85,"more than 6 month"
"11",53225,"ODESSA                        ","TX ",1,0,"WEEKLY    ","0",1,107,11,"2017-09-28",0,0,0,11,0,0,0,720,0,0,0,7920,0,0,0,720,0,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,8.36363636363636,0,0,0,92,0.5,0.5,0.5,0.888888888888889,"less than or equal to a month"
"12",53233,"KAUKAUNA                      ","WI ",1,100,"COMMISSION","0",1,107,363,"2018-05-29",26,79,128,283,1044.70269230769,893.719367088608,848.7496875,799.525830388693,27162.27,70603.83,108639.96,226265.81,1044.70269230769,893.719367088608,848.7496875,799.384487632509,27162.27,70603.83,108639.96,226225.81,0,0,0,0.141342756183746,0,0,0,40,8.38461538461539,6.9620253164557,6.6640625,6.75971731448763,218,550,853,1913,0.933333333333333,0.976190476190476,0.945205479452055,0.888888888888889,"more than 6 month"
"13",53239,"KAUKAUNA                      ","WI ",1,100,"COMMISSION","0",1,107,340,"2018-05-07",3,6,13,98,803.966666666667,642.003333333333,958.923076923077,768.703673469388,2411.9,3852.02,12466,75332.96,803.966666666667,642.003333333333,894.307692307692,758.293469387755,2411.9,3852.02,11626,74312.76,0,0,64.6153846153846,10.4102040816327,0,0,840,1020.2,5.33333333333333,4.33333333333333,4.84615384615385,6.1734693877551,16,26,63,605,0.5,1,1,0.958333333333333,"more than 6 month"
"14",53263,"CALGARY                       ","AB ",1,0,"DAILY     ","0",1,107,158,"2018-02-12",0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.16666666666667,0,0,1,13,0.5,0.5,0.5,0.5,"less than or equal to 6 month"
"15",53273,"FORKED RIVER                  ","NJ ",1,100,"COMMISSION","0",1,107,343,"2018-05-30",30,88,139,175,1221.73333333333,1087.45840909091,960.786618705036,946.179085714286,36652,95696.34,133549.34,165581.34,1221.73333333333,1087.45840909091,960.786618705036,946.179085714286,36652,95696.34,133549.34,165581.34,0,0,0,0,0,0,0,0,22.9333333333333,20.0795454545455,17.2230215827338,16.9657142857143,688,1767,2394,2969,0.517241379310345,0.418604651162791,0.496350364963504,0.494186046511628,"more than 6 month"
"16",53284,"AURORA                        ","ON ",1,0,"DAILY     ","0",1,107,265,"2018-02-21",0,0,45,228,0,0,3.2,1.56140350877193,0,0,144,356,0,0,3.2,1.56140350877193,0,0,144,356,0,0,0,0,0,0,0,0,0,0,9.22222222222222,9.1578947368421,0,0,415,2088,0.5,0.5,0.697674418604651,0.70353982300885,"more than 6 month"
"17",53287,"MISSISSAUGA,ON,L5W0C4         ","ON ",1,0,"DAILY     ","0",1,107,356,"2018-05-25",11,12,12,21,52.3636363636364,48,48,79.0476190476191,576,576,576,1660,52.3636363636364,48,48,79.0476190476191,576,576,576,1660,0,0,0,0,0,0,0,0,5.27272727272727,5.33333333333333,5.33333333333333,3.95238095238095,58,64,64,83,0.625,0.666666666666667,0.666666666666667,0.8,"more than 6 month"
"18",53288,"GWYNN OAK                     ","MD ",1,100,"COMMISSION","NULL",1,107,357,"2018-05-23",17,28,37,129,880.249411764706,830.470714285714,845.791891891892,859.47511627907,14964.24,23253.18,31294.3,110872.29,820.367058823529,789.833571428571,796.855675675676,837.916976744186,13946.24,22115.34,29483.66,108091.29,59.8823529411765,40.6371428571429,48.9362162162162,21.5581395348837,1018,1137.84,1810.64,2781,11.0588235294118,10.3571428571429,10.7297297297297,10.2558139534884,188,290,397,1323,0.714285714285714,0.681818181818182,0.758620689655172,0.663461538461538,"more than 6 month"
"19",53299,"GWYNN OAK                     ","MD ",1,100,"COMMISSION","NULL",0,236,36,"2017-08-10",0,0,0,20,0,0,0,999.397,0,0,0,19987.94,0,0,0,996.276,0,0,0,19925.52,0,0,0,3.121,0,0,0,62.42,0,0,0,11.85,0,0,0,237,0.5,0.5,0.5,0.722222222222222,"less than or equal to 3 month"
"20",53303,"LETHBRIDGE,AB,T1K2S4          ","AB ",1,0,"DAILY     ","0",1,107,363,"2018-05-29",29,89,145,347,2.20689655172414,3.0561797752809,1.87586206896552,5.12968299711816,64,272,272,1780,2.20689655172414,3.0561797752809,1.87586206896552,5.12968299711816,64,272,272,1780,0,0,0,0,0,0,0,0,9.82758620689655,8.97752808988764,8.80689655172414,7.34005763688761,285,799,1277,2547,0.75,0.701149425287356,0.737588652482269,0.750750750750751,"more than 6 month"
"21",53344,"SAN FERNANDO                  ","CA ",1,100,"COMMISSION","NULL",1,107,67,"2017-08-06",0,0,0,39,0,0,0,868.615384615385,0,0,0,33876,0,0,0,868.615384615385,0,0,0,33876,0,0,0,0,0,0,0,0,0,0,0,15.8205128205128,0,0,0,617,0.5,0.5,0.5,0.58974358974359,"less than or equal to 3 month"
"22",53384,"DUNCANVILLE                   ","TX ",1,100,"COMMISSION","0",1,107,363,"2018-05-29",15,62,111,295,1022.364,978.732903225806,984.868828828829,977.920745762712,15335.46,60681.44,109320.44,288486.62,946.116,960.285806451613,974.565045045045,967.967661016949,14191.74,59537.72,108176.72,285550.46,76.248,18.4470967741936,10.3037837837838,9.95308474576271,1143.72,1143.72,1143.72,2936.16,15,15.3387096774194,15.6216216216216,15.7559322033898,225,951,1734,4648,0.5,0.5,0.5,0.5,"more than 6 month"
"23",53388,"AURORA                        ","ON ",1,0,"DAILY     ","NULL",1,107,241,"2018-01-28",0,0,4,102,0,0,0,0.235294117647059,0,0,0,24,0,0,0,0.235294117647059,0,0,0,24,0,0,0,0,0,0,0,0,0,0,7.25,8.14705882352941,0,0,29,831,0.5,0.5,0.25,0.690721649484536,"more than 6 month"
"24",53390,"BRAMPTON                      ","ON ",1,0,"DAILY     ","0",1,107,363,"2018-05-29",24,62,108,277,42.8333333333333,49.4193548387097,43.7037037037037,26.5848375451264,1028,3064,4720,7364,42.8333333333333,49.4193548387097,43.7037037037037,26.5848375451264,1028,3064,4720,7364,0,0,0,0,0,0,0,0,6.33333333333333,4.54838709677419,3.63888888888889,3.83393501805054,152,282,393,1062,0.85,0.880952380952381,0.852941176470588,0.833333333333333,"more than 6 month"
"25",53413,"RIVERSIDE                     ","CA ",1,100,"COMMISSION","NULL",0,236,76,"2017-08-15",0,0,0,52,0,0,0,858.461538461538,0,0,0,44640,0,0,0,858.461538461538,0,0,0,44640,0,0,0,0,0,0,0,0,0,0,0,15.6538461538462,0,0,0,814,0.5,0.5,0.5,0.490196078431373,"less than or equal to 3 month"
"26",53437,"ROOSEVELT                     ","NY ",1,100,"COMMISSION","0",0,236,299,"2018-03-26",0,23,76,247,0,1071.30434782609,833.118421052632,1079.78542510121,0,24640,63317,266707,0,1071.30434782609,833.118421052632,1079.78542510121,0,24640,63317,266707,0,0,0,0,0,0,0,0,0,6.78260869565217,5.40789473684211,7.92712550607287,0,156,411,1958,0.5,0.941176470588235,0.867924528301887,0.73015873015873,"more than 6 month"
"27",53439,"ROOSEVELT                     ","NY ",1,100,"COMMISSION","0",0,236,299,"2018-03-26",0,22,72,261,0,1218,1094.04166666667,1184.07279693487,0,26796,78771,309043,0,1218,1094.04166666667,1184.07279693487,0,26796,78771,309043,0,0,0,0,0,0,0,0,0,19.3181818181818,17.2222222222222,19.3831417624521,0,425,1240,5059,0.5,0.636363636363636,0.732394366197183,0.6171875,"more than 6 month"
"28",53440,"ROOSEVELT                     ","NY ",1,100,"COMMISSION","0",0,236,128,"2017-10-06",0,0,0,58,0,0,0,1312.89655172414,0,0,0,76148,0,0,0,1312.89655172414,0,0,0,76148,0,0,0,0,0,0,0,0,0,0,0,9.82758620689655,0,0,0,570,0.5,0.5,0.5,0.607843137254902,"less than or equal to 6 month"
"29",53455,"ROOSEVELT                     ","NY ",1,100,"COMMISSION","0",0,236,72,"2018-03-19",0,5,16,16,0,939.4,779.625,779.625,0,4697,12474,12474,0,939.4,779.625,779.625,0,4697,12474,12474,0,0,0,0,0,0,0,0,0,15.8,13,13,0,79,208,208,0.5,0.25,0.666666666666667,0.666666666666667,"less than or equal to 3 month"
"30",53456,"CANTON                        ","OH ",1,0,"WEEKLY    ","0",1,107,124,"2018-03-19",0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18.8666666666667,0,2,2,283,0.5,0.5,0.5,0.5,"less than or equal to 6 month"
"31",53495,"OSHAWA                        ","ON ",1,0,"DAILY     ","0",1,107,6,"2018-05-09",3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,24,24,24,24,1,1,1,1,"less than or equal to a month"
"32",53496,"OSHAWA                        ","ON ",1,0,"DAILY     ","0",1,107,363,"2018-05-29",28,80,136,334,9,3.15,2.38235294117647,4.46706586826347,252,252,324,1492,9,3.15,2.38235294117647,4.46706586826347,252,252,324,1492,0,0,0,0,0,0,0,0,8.5,7.2625,6.79411764705882,6.52694610778443,238,581,924,2180,0.814814814814815,0.857142857142857,0.821705426356589,0.801282051282051,"more than 6 month"
"33",53510,"TORONTO                       ","ON ",1,0,"DAILY     ","0",1,107,357,"2018-05-29",24,66,109,250,9.83333333333333,6.66666666666667,7.48623853211009,5.216,236,440,816,1304,9.83333333333333,6.66666666666667,7.48623853211009,5.216,236,440,816,1304,0,0,0,0,0,0,0,0,10.25,8.89393939393939,8.70642201834862,8.34,246,587,949,2085,0.608695652173913,0.622950819672131,0.584158415841584,0.541125541125541,"more than 6 month"
"34",53514,"MAPLE                         ","ON ",1,0,"DAILY     ","0",1,107,363,"2018-05-29",25,73,123,325,12.48,9.15068493150685,5.43089430894309,3.32307692307692,312,668,668,1080,12.48,9.15068493150685,5.43089430894309,3.32307692307692,312,668,668,1080,0,0,0,0,0,0,0,0,10.96,9.02739726027397,8.55284552845528,8.44923076923077,274,659,1052,2746,0.88,0.873239436619718,0.822033898305085,0.758730158730159,"more than 6 month"
"35",53529,"PAWTUCKET                     ","RI ",1,100,"COMMISSION","0",1,107,363,"2018-05-29",24,65,107,290,1012.58333333333,961.723076923077,950.190654205608,1002.49103448276,24302,62512,101670.4,290722.4,981.5,903.6,870.336448598131,957.220689655172,23556,58734,93126,277594,31.0833333333333,58.1230769230769,79.8542056074766,45.2703448275862,746,3778,8544.4,13128.4,18.4583333333333,16.0769230769231,14.8130841121495,15.1655172413793,443,1045,1585,4398,0.5,0.59375,0.556603773584906,0.503472222222222,"more than 6 month"
"36",53538,"MANAHAWKIN                    ","NJ ",1,100,"COMMISSION","NULL",1,107,363,"2018-05-29",28,82,139,345,1144,999.121951219512,980.834532374101,1025.90724637681,32032,81928,136336,353938,1141.25,998.182926829268,980.280575539568,1025.68405797101,31955,81851,136259,353861,2.75,0.939024390243902,0.553956834532374,0.223188405797101,77,77,77,77,21.1428571428571,18.3658536585366,17.1007194244604,17.7217391304348,592,1506,2377,6114,0.592592592592593,0.532467532467532,0.572519083969466,0.486486486486487,"more than 6 month"
"37",53541,"PAWTUCKET                     ","RI ",1,100,"COMMISSION","0",1,107,363,"2018-05-29",23,74,128,334,2443.74956521739,2154.27189189189,1978.8359375,1698.29098802395,56206.24,159416.12,253291,567229.19,2436.09739130435,2150.29891891892,1973.1796875,1694.77601796407,56030.24,159122.12,252567,566055.19,7.65217391304348,3.97297297297297,5.65625,3.51497005988024,176,294,724,1174,24.5217391304348,23.6756756756757,22.0859375,18.9251497005988,564,1752,2827,6321,0.75,0.753846153846154,0.702702702702703,0.577702702702703,"more than 6 month"
"38",53543,"HOUSTON                       ","TX ",1,100,"COMMISSION","NULL",1,107,364,"2018-05-30",26,84,134,259,533.076923076923,617.254047619048,653.606268656716,787.478455598456,13860,51849.34,87583.24,203956.92,533.076923076923,612.968333333333,650.919701492537,782.212046332046,13860,51489.34,87223.24,202592.92,0,4.28571428571429,2.6865671641791,5.26640926640927,0,360,360,1364,11.3461538461538,12.4047619047619,11.9402985074627,12.2316602316602,295,1042,1600,3168,0.791666666666667,0.746835443037975,0.735849056603774,0.698275862068966,"more than 6 month"
"39",53548,"LEHIGH ACRES                  ","FL ",1,100,"COMMISSION","0",0,236,79,"2017-08-18",0,0,0,62,0,0,0,848.032258064516,0,0,0,52578,0,0,0,848.032258064516,0,0,0,52578,0,0,0,0,0,0,0,0,0,0,0,15.0161290322581,0,0,0,931,0.5,0.5,0.5,0.813559322033898,"less than or equal to 3 month"
"40",53596,"ACTON                         ","MT ",1,0,"WEEKLY    ","0",1,107,165,"2018-03-01",0,1,5,18,0,6480,9072.004,9663.93222222222,0,6480,45360.02,173950.78,0,6480,9072.004,9663.93222222222,0,6480,45360.02,173950.78,0,0,0,0,0,0,0,0,0,1,1.2,1.16666666666667,0,1,6,21,0.5,0.5,0.5,0.5,"less than or equal to 6 month"
"41",53626,"CANTON                        ","OH ",1,100,"COMMISSION","0",1,107,303,"2018-04-28",0,41,81,203,0,818.210731707317,716.722716049383,697.680985221675,0,33546.64,58054.54,141629.24,0,799.114634146341,707.056790123457,692.697832512315,0,32763.7,57271.6,140617.66,0,19.0960975609756,9.66592592592593,4.98315270935961,0,782.94,782.94,1011.58,0,7.31707317073171,6.51851851851852,6.46305418719212,0,300,528,1312,0.5,0.727272727272727,0.746268656716418,0.70414201183432,"more than 6 month"
"42",53636,"CARVER                        ","MA ",1,100,"COMMISSION","0",0,236,71,"2017-08-10",0,0,0,46,0,0,0,1272.53782608696,0,0,0,58536.74,0,0,0,1272.53782608696,0,0,0,58536.74,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,414,0.5,0.5,0.5,0.4,"less than or equal to 3 month"
