"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","tenure.in_days.","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month.","average_total_payment_3_month.","average_total_payment_6_month.","average_total_payment_1_year.","sum_total_payment_1_month.","sum_total_payment_3_month.","sum_total_payment_6_month.","sum_total_payment_1_year.","average_standard_payment_1_month.","average_standard_payment_3_month.","average_standard_payment_6_month.","average_standard_payment_1_year.","sum_standard_payment_1_month.","sum_standard_payment_3_month.","sum_standard_payment_6_month.","sum_standard_payment_1_year.","average_non_standard_payment_1_month.","average_non_standard_payment_3_month.","average_non_standard_payment_6_month.","average_non_standard_payment_1_year.","sum_non_standard_payment_1_month.","sum_non_standard_payment_3_month.","sum_non_standard_payment_6_month.","sum_non_standard_payment_1_year.","average_jobs_1_month.","average_jobs_3_month.","average_jobs_6_month.","average_jobs_1_year.","total_jobs_1_month.","total_jobs_3_month.","total_jobs_6_month.","total_jobs_1_year.","average_satisfaction_1_month.","average_satisfaction_3_month.","average_satisfaction_6_month.","average_satisfaction_1_year.","Tenure.in_categories.","churn_status"
"1",53028,"CAPE CORAL","FL",1,100,"COMMISSION","0",1,"107",78,2017-08-18,0,0,0,63,0,0,0,891.52380952381,0,0,0,56166,0,0,0,891.52380952381,0,0,0,56166,0,0,0,0,0,0,0,0,0,0,0,15.5238095238095,0,0,0,978,0.5,0.5,0.5,0.596774193548387,"less than or equal to 3 month",TRUE
"2",53178,"FEDERAL WAY","WA",1,100,"COMMISSION","0",0,"236",302,2018-03-30,0,22,32,220,0,760.949090909091,745.7240625,1808.69836363636,0,16740.88,23863.17,397913.64,0,760.949090909091,745.7240625,1783.94454545455,0,16740.88,23863.17,392467.8,0,0,0,24.7538181818182,0,0,0,5445.84,0,7.27272727272727,7.71875,12.4909090909091,0,160,247,2748,0.5,0.5,0.5,0.684931506849315,"more than 6 month",FALSE
"3",53225,"ODESSA","TX",1,0,"WEEKLY","0",1,"107",11,2017-09-28,0,0,0,11,0,0,0,720,0,0,0,7920,0,0,0,720,0,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,8.36363636363636,0,0,0,92,0.5,0.5,0.5,0.888888888888889,"less than or equal to a month",TRUE
"4",53263,"CALGARY","AB",1,0,"DAILY","0",1,"107",158,2018-02-12,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.16666666666667,0,0,1,13,0.5,0.5,0.5,0.5,"less than or equal to 6 month",TRUE
"5",53284,"AURORA","ON",1,0,"DAILY","0",1,"107",265,2018-02-21,0,0,45,228,0,0,3.2,1.56140350877193,0,0,144,356,0,0,3.2,1.56140350877193,0,0,144,356,0,0,0,0,0,0,0,0,0,0,9.22222222222222,9.1578947368421,0,0,415,2088,0.5,0.5,0.697674418604651,0.70353982300885,"more than 6 month",TRUE
"6",53344,"SAN FERNANDO","CA",1,100,"COMMISSION","Not Specified",1,"107",67,2017-08-06,0,0,0,39,0,0,0,868.615384615385,0,0,0,33876,0,0,0,868.615384615385,0,0,0,33876,0,0,0,0,0,0,0,0,0,0,0,15.8205128205128,0,0,0,617,0.5,0.5,0.5,0.58974358974359,"less than or equal to 3 month",TRUE
"7",53388,"AURORA","ON",1,0,"DAILY","Not Specified",1,"107",241,2018-01-28,0,0,4,102,0,0,0,0.235294117647059,0,0,0,24,0,0,0,0.235294117647059,0,0,0,24,0,0,0,0,0,0,0,0,0,0,7.25,8.14705882352941,0,0,29,831,0.5,0.5,0.25,0.690721649484536,"more than 6 month",TRUE
"8",53437,"ROOSEVELT","NY",1,100,"COMMISSION","0",0,"236",299,2018-03-26,0,23,76,247,0,1071.30434782609,833.118421052632,1079.78542510121,0,24640,63317,266707,0,1071.30434782609,833.118421052632,1079.78542510121,0,24640,63317,266707,0,0,0,0,0,0,0,0,0,6.78260869565217,5.40789473684211,7.92712550607287,0,156,411,1958,0.5,0.941176470588235,0.867924528301887,0.73015873015873,"more than 6 month",FALSE
"9",53439,"ROOSEVELT","NY",1,100,"COMMISSION","0",0,"236",299,2018-03-26,0,22,72,261,0,1218,1094.04166666667,1184.07279693487,0,26796,78771,309043,0,1218,1094.04166666667,1184.07279693487,0,26796,78771,309043,0,0,0,0,0,0,0,0,0,19.3181818181818,17.2222222222222,19.3831417624521,0,425,1240,5059,0.5,0.636363636363636,0.732394366197183,0.6171875,"more than 6 month",FALSE
"10",53455,"ROOSEVELT","NY",1,100,"COMMISSION","0",0,"236",72,2018-03-19,0,5,16,16,0,939.4,779.625,779.625,0,4697,12474,12474,0,939.4,779.625,779.625,0,4697,12474,12474,0,0,0,0,0,0,0,0,0,15.8,13,13,0,79,208,208,0.5,0.25,0.666666666666667,0.666666666666667,"less than or equal to 3 month",FALSE
