"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"1",53028,"CAPE CORAL                    ","FL ",1,100,"COMMISSION","0",1,"107",53028,78,2017-08-18,0,0,16,63,0,0,789.1875,891.52380952381,0,0,12627,56166,0,0,789.1875,891.52380952381,0,0,12627,56166,0,0,0,0,0,0,0,0,0,0,14.375,15.5238095238095,0,0,230,978,0.5,0.5,0.6,0.596774193548387,"less than or equal to 3 month",TRUE
"2",53045,"CENTEREACH                    ","NY ",1,100,"COMMISSION","0",0,"236",53045,1,2017-09-19,0,0,1,1,0,0,847,847,0,0,847,847,0,0,847,847,0,0,847,847,0,0,0,0,0,0,0,0,0,0,16,16,0,0,16,16,0.5,0.5,1,1,"less than or equal to a month",TRUE
"3",53051,"CAMDEN                        ","NJ ",1,100,"COMMISSION","0",1,"107",53051,245,2018-01-31,23,68,136,177,684.782608695652,725.294117647059,751.727941176471,749.209039548023,15750,49320,102235,132610,684.782608695652,725.294117647059,751.727941176471,749.209039548023,15750,49320,102235,132610,0,0,0,0,0,0,0,0,9.04347826086956,9.5,9.83088235294118,10.0734463276836,208,646,1337,1783,0.619047619047619,0.622950819672131,0.577235772357724,0.565217391304348,"more than 6 month",FALSE
"4",53105,"NORTH LAUDERDALE              ","FL ",1,100,"COMMISSION","0",0,"236",53105,47,2018-01-31,21,33,33,33,723.809523809524,783.030303030303,783.030303030303,783.030303030303,15200,25840,25840,25840,723.809523809524,783.030303030303,783.030303030303,783.030303030303,15200,25840,25840,25840,0,0,0,0,0,0,0,0,13.9047619047619,14.5151515151515,14.5151515151515,14.5151515151515,292,479,479,479,0.45,0.4375,0.4375,0.4375,"less than or equal to 3 month",FALSE
"5",53106,"WOODLAND                      ","CA ",1,100,"COMMISSION","0",0,"236",53106,79,2017-08-18,0,0,17,73,0,0,532,655.890410958904,0,0,9044,47880,0,0,532,655.890410958904,0,0,9044,47880,0,0,0,0,0,0,0,0,0,0,12.0588235294118,13.6986301369863,0,0,205,1000,0.5,0.5,0.416666666666667,0.430769230769231,"less than or equal to 3 month",TRUE
"6",53114,"HAMMOND                       ","IN ",1,100,"COMMISSION","0",1,"107",53114,204,2017-12-22,0,2,24,52,0,142.7,561.370833333333,648.786538461538,0,285.4,13472.9,33736.9,0,142.7,561.370833333333,648.786538461538,0,285.4,13472.9,33736.9,0,0,0,0,0,0,0,0,0,2.5,9.95833333333333,12.5576923076923,0,5,239,653,0.5,0.5,0.6,0.48780487804878,"more than 6 month",FALSE
"7",53178,"FEDERAL WAY                   ","WA ",1,100,"COMMISSION","0",0,"236",53178,214,2018-01-01,1,54,132,189,200.72,2318.49592592593,2024.85090909091,1980.16502645503,200.72,125198.78,267280.32,374251.19,200.72,2245.53814814815,1992.31303030303,1951.35105820106,200.72,121259.06,262985.32,368805.35,0,72.9577777777778,32.5378787878788,28.8139682539683,0,3939.72,4295,5445.84,4,18.6296296296296,13.4015151515152,13.2539682539683,4,1006,1769,2505,0.5,0.688888888888889,0.686868686868687,0.684931506849315,"more than 6 month",FALSE
"8",53187,"WOODLAND                      ","CA ",1,100,"COMMISSION","0",0,"236",53187,82,2017-08-21,0,0,21,78,0,0,991.619047619048,1053.28205128205,0,0,20824,82156,0,0,991.619047619048,1053.28205128205,0,0,20824,82156,0,0,0,0,0,0,0,0,0,0,16.7142857142857,17.5512820512821,0,0,351,1369,0.5,0.5,0.761904761904762,0.623376623376623,"less than or equal to 3 month",TRUE
"9",53198,"CALGARY                       ","AB ",1,0,"DAILY     ","NULL",1,"107",53198,243,2018-01-29,18,50,108,144,10.6666666666667,36.64,42,38.9444444444444,192,1832,4536,5608,10.6666666666667,36.64,42,38.9444444444444,192,1832,4536,5608,0,0,0,0,0,0,0,0,1.66666666666667,1.94,2.80555555555556,3.36805555555556,30,97,303,485,1,0.793103448275862,0.803030303030303,0.802083333333333,"more than 6 month",FALSE
"10",53205,"KAUKAUNA                      ","WI ",1,100,"COMMISSION","0",1,"107",53205,202,2017-12-19,0,32,88,133,0,909.45,853.865568181818,842.992556390977,0,29102.4,75140.17,112118.01,0,908.6625,853.261022727273,842.592556390977,0,29077.2,75086.97,112064.81,0,0.7875,0.604545454545454,0.4,0,25.2,53.2,53.2,0,9.1875,7.59090909090909,7.37593984962406,0,294,668,981,0.5,0.833333333333333,0.833333333333333,0.842105263157895,"more than 6 month",FALSE
